time	V(vout)
0.000000000000000e+00	-1.999994e+00
1.999999992008394e-11	-1.999994e+00
3.999999984016789e-11	-1.999994e+00
7.999999968033578e-11	-1.999994e+00
1.525992701318310e-10	-1.999994e+00
2.977978110348215e-10	-1.999994e+00
5.159099844105852e-10	-1.999994e+00
7.419660660168440e-10	-1.999994e+00
1.000000000000000e-09	-1.999994e+00
1.077410180194947e-09	-1.999994e+00
1.180623753788209e-09	-1.999994e+00
1.387050900974734e-09	-1.999994e+00
1.799905195347784e-09	-1.999994e+00
2.372657908582770e-09	-1.999994e+00
3.122920681879637e-09	-1.999994e+00
4.078205134430155e-09	-1.999994e+00
5.345445993418388e-09	-1.999994e+00
6.972425025061726e-09	-1.999996e+00
8.919225354937086e-09	-2.000001e+00
1.101463167541278e-08	-2.000015e+00
1.315365372754056e-08	-2.000041e+00
1.592915601294941e-08	-2.000096e+00
1.890354197066779e-08	-2.000190e+00
2.359680143493409e-08	-2.000421e+00
3.052884590600982e-08	-2.000902e+00
3.746927135203112e-08	-2.001523e+00
4.517873936522532e-08	-2.002321e+00
5.298272372676873e-08	-2.003156e+00
6.201448191118888e-08	-2.004050e+00
7.157173936039257e-08	-2.004802e+00
8.243116438943721e-08	-2.005341e+00
9.276535960542067e-08	-2.005491e+00
1.046873079328410e-07	-2.005229e+00
1.174836581053608e-07	-2.004515e+00
1.341905521423682e-07	-2.003137e+00
1.508547735826061e-07	-2.001534e+00
1.707773704077195e-07	-1.999625e+00
1.883552864346579e-07	-1.998194e+00
2.077925316015440e-07	-1.997049e+00
2.257782629406188e-07	-1.996459e+00
2.474776483253236e-07	-1.996302e+00
2.711766398011344e-07	-1.996605e+00
2.902777155297524e-07	-1.997102e+00
3.071260090442820e-07	-1.997645e+00
3.235975282384434e-07	-1.998191e+00
3.396662070314433e-07	-1.998687e+00
3.566962239020041e-07	-1.999144e+00
3.722450945156750e-07	-1.999484e+00
3.879396904048759e-07	-1.999747e+00
4.029493939822197e-07	-1.999928e+00
4.185249913186368e-07	-2.000050e+00
4.353048506244906e-07	-2.000123e+00
4.518729742594560e-07	-2.000151e+00
4.692341840082091e-07	-2.000147e+00
4.863600105872809e-07	-2.000124e+00
5.040523302901668e-07	-2.000090e+00
5.216731298829736e-07	-2.000056e+00
5.400570174024443e-07	-2.000025e+00
5.553756731732716e-07	-2.000004e+00
5.700565950782965e-07	-1.999990e+00
5.854323460452588e-07	-1.999981e+00
6.029515949532796e-07	-1.999975e+00
6.196591477921759e-07	-1.999974e+00
6.373781031708696e-07	-1.999976e+00
6.543694275810169e-07	-1.999979e+00
6.734980166859631e-07	-1.999984e+00
6.966212057124272e-07	-1.999989e+00
7.318194953011653e-07	-1.999994e+00
7.569926721114088e-07	-1.999996e+00
7.826867228668796e-07	-1.999997e+00
8.140741421764981e-07	-1.999996e+00
8.465914348811645e-07	-1.999995e+00
8.905032110595316e-07	-1.999994e+00
9.612662122084383e-07	-1.999994e+00
1.029713386930230e-06	-1.999994e+00
1.098800073926812e-06	-1.999994e+00
1.420457360105126e-03	-1.998909e+00
2.839815920136325e-03	-1.995699e+00
4.259174480167523e-03	-1.990365e+00
5.678533040198722e-03	-1.982906e+00
7.097891600229922e-03	-1.973322e+00
8.517250160261119e-03	-1.961615e+00
9.936608720292315e-03	-1.947782e+00
1.987141049969285e-02	-1.794693e+00
3.974101405849391e-02	-1.266824e+00
6.496626996965835e-02	-2.848956e-01
8.720754087330193e-02	8.190024e-01
1.098072039712825e-01	2.071178e+00
1.345978658777269e-01	3.412508e+00
1.636321084465265e-01	4.714259e+00
1.958409524895208e-01	5.675913e+00
2.166516102363090e-01	5.919891e+00
2.350270271618194e-01	5.804335e+00
2.536170451576654e-01	5.386265e+00
2.787071625960837e-01	4.448384e+00
3.065727583236746e-01	3.086080e+00
3.311092335181379e-01	1.730325e+00
3.495800369268606e-01	7.037616e-01
3.672405559775277e-01	-1.952832e-01
3.851359884729837e-01	-9.547570e-01
4.043967609714451e-01	-1.542373e+00
4.253660636135222e-01	-1.881285e+00
4.442326588065300e-01	-1.887255e+00
4.635440476352912e-01	-1.576958e+00
4.857022744682967e-01	-8.835554e-01
5.087319638083486e-01	1.290965e-01
5.297716969510496e-01	1.238042e+00
5.511636119043787e-01	2.434147e+00
5.780834501650677e-01	3.842108e+00
6.072363237868873e-01	5.066568e+00
6.322040978609191e-01	5.737640e+00
6.515521223513784e-01	5.925391e+00
6.699686233832008e-01	5.799688e+00
6.885299727366289e-01	5.377381e+00
7.138993408265425e-01	4.422897e+00
7.417115641310325e-01	3.058867e+00
7.659724813916616e-01	1.716689e+00
7.844044152768994e-01	6.927145e-01
8.020738086795882e-01	-2.053679e-01
8.199754846019598e-01	-9.626832e-01
8.393331760765990e-01	-1.550103e+00
8.601777566683345e-01	-1.883340e+00
8.790177544460617e-01	-1.886178e+00
8.982974676760258e-01	-1.573745e+00
9.205293135949228e-01	-8.754040e-01
9.435482718833625e-01	1.389595e-01
9.646503655187113e-01	1.249579e+00
9.785477892315777e-01	2.034121e+00
1.000000001000000e+00	3.257950e+00
1.000000001100000e+00	3.257950e+00
1.000000001300000e+00	3.257950e+00
1.000000001452887e+00	3.257950e+00
1.000000001605221e+00	3.257950e+00
1.000000001828969e+00	3.257950e+00
1.000000002000000e+00	3.257950e+00
1.000000002079555e+00	3.257950e+00
1.000000002185629e+00	3.257950e+00
1.000000002397668e+00	3.257950e+00
1.000000002821746e+00	3.257950e+00
1.000000003399348e+00	3.257950e+00
1.000000004162569e+00	3.257950e+00
1.000000005127297e+00	3.257950e+00
1.000000006416345e+00	3.257950e+00
1.000000008062161e+00	3.257952e+00
1.000000010031057e+00	3.257958e+00
1.000000012162800e+00	3.257972e+00
1.000000014382309e+00	3.258000e+00
1.000000017393131e+00	3.258063e+00
1.000000020528637e+00	3.258169e+00
1.000000026137051e+00	3.258457e+00
1.000000032791777e+00	3.258933e+00
1.000000040135998e+00	3.259597e+00
1.000000047615826e+00	3.260360e+00
1.000000056005343e+00	3.261230e+00
1.000000065112419e+00	3.262082e+00
1.000000075546583e+00	3.262838e+00
1.000000086174952e+00	3.263294e+00
1.000000097383601e+00	3.263393e+00
1.000000109532034e+00	3.263078e+00
1.000000123839683e+00	3.262267e+00
1.000000139118810e+00	3.261053e+00
1.000000156834791e+00	3.259447e+00
1.000000176539191e+00	3.257703e+00
1.000000195141783e+00	3.256311e+00
1.000000215011174e+00	3.255239e+00
1.000000234911836e+00	3.254641e+00
1.000000258402461e+00	3.254485e+00
1.000000285859622e+00	3.254807e+00
1.000000308081036e+00	3.255325e+00
1.000000326317486e+00	3.255844e+00
1.000000343672232e+00	3.256340e+00
1.000000360660938e+00	3.256787e+00
1.000000376922370e+00	3.257156e+00
1.000000392490778e+00	3.257448e+00
1.000000406457194e+00	3.257654e+00
1.000000421282532e+00	3.257818e+00
1.000000436317466e+00	3.257936e+00
1.000000451461418e+00	3.258012e+00
1.000000468020253e+00	3.258057e+00
1.000000484566950e+00	3.258073e+00
1.000000501903632e+00	3.258070e+00
1.000000519091919e+00	3.258055e+00
1.000000536924532e+00	3.258035e+00
1.000000555181763e+00	3.258014e+00
1.000000572144117e+00	3.257998e+00
1.000000586181258e+00	3.257987e+00
1.000000600911964e+00	3.257980e+00
1.000000618685711e+00	3.257975e+00
1.000000635170465e+00	3.257973e+00
1.000000654107494e+00	3.257974e+00
1.000000673271293e+00	3.257977e+00
1.000000697021858e+00	3.257982e+00
1.000000725159979e+00	3.257987e+00
1.000000764178842e+00	3.257992e+00
1.000000797079483e+00	3.257995e+00
1.000000832996990e+00	3.257997e+00
1.000000871104554e+00	3.257999e+00
1.000000922119743e+00	3.258001e+00
1.000000993877554e+00	3.258004e+00
1.000001163142467e+00	3.258014e+00
1.003456557163826e+00	3.440234e+00
1.006911951185185e+00	3.605253e+00
1.010367345206544e+00	3.753072e+00
1.013822739227903e+00	3.883691e+00
1.017278133249262e+00	3.997109e+00
1.020733527270621e+00	4.093327e+00
1.024188921291980e+00	4.172345e+00
1.042357234291539e+00	4.368182e+00
