time	V(vin)	V(vout)
0.000000000000000e+00	-2.000000e+00	-1.999994e+00
1.999999992008394e-11	-1.920000e+00	-1.999994e+00
3.999999984016789e-11	-1.840000e+00	-1.999994e+00
7.999999968033578e-11	-1.680000e+00	-1.999994e+00
1.525992701318310e-10	-1.389603e+00	-1.999994e+00
2.977978110348215e-10	-8.088087e-01	-1.999994e+00
5.159099844105852e-10	6.363994e-02	-1.999994e+00
7.419660660168440e-10	9.678643e-01	-1.999994e+00
1.000000000000000e-09	2.000000e+00	-1.999994e+00
1.077410180194947e-09	2.000000e+00	-1.999994e+00
1.180623753788209e-09	2.000000e+00	-1.999994e+00
1.387050900974734e-09	2.000000e+00	-1.999994e+00
1.799905195347784e-09	2.000000e+00	-1.999994e+00
2.372657908582770e-09	2.000000e+00	-1.999994e+00
3.122920681879637e-09	2.000000e+00	-1.999994e+00
4.078205134430155e-09	2.000000e+00	-1.999994e+00
5.345445993418388e-09	2.000000e+00	-1.999994e+00
6.972425025061726e-09	2.000000e+00	-1.999996e+00
8.919225354937086e-09	2.000000e+00	-2.000001e+00
1.101463167541278e-08	2.000000e+00	-2.000015e+00
1.315365372754056e-08	2.000000e+00	-2.000041e+00
1.592915601294941e-08	2.000000e+00	-2.000096e+00
1.890354197066779e-08	2.000000e+00	-2.000190e+00
2.359680143493409e-08	2.000000e+00	-2.000421e+00
3.052884590600982e-08	2.000000e+00	-2.000902e+00
3.746927135203112e-08	2.000000e+00	-2.001523e+00
4.517873936522532e-08	2.000000e+00	-2.002321e+00
5.298272372676873e-08	2.000000e+00	-2.003156e+00
6.201448191118888e-08	2.000000e+00	-2.004050e+00
7.157173936039257e-08	2.000000e+00	-2.004802e+00
8.243116438943721e-08	2.000000e+00	-2.005341e+00
9.276535960542067e-08	2.000000e+00	-2.005491e+00
1.046873079328410e-07	2.000000e+00	-2.005229e+00
1.174836581053608e-07	2.000000e+00	-2.004515e+00
1.341905521423682e-07	2.000000e+00	-2.003137e+00
1.508547735826061e-07	2.000000e+00	-2.001534e+00
1.707773704077195e-07	2.000000e+00	-1.999625e+00
1.883552864346579e-07	2.000000e+00	-1.998194e+00
2.077925316015440e-07	2.000000e+00	-1.997049e+00
2.257782629406188e-07	2.000000e+00	-1.996459e+00
2.474776483253236e-07	2.000000e+00	-1.996302e+00
2.711766398011344e-07	2.000000e+00	-1.996605e+00
2.902777155297524e-07	2.000000e+00	-1.997102e+00
3.071260090442820e-07	2.000000e+00	-1.997645e+00
3.235975282384434e-07	2.000000e+00	-1.998191e+00
3.396662070314433e-07	2.000000e+00	-1.998687e+00
3.566962239020041e-07	2.000000e+00	-1.999144e+00
3.722450945156750e-07	2.000000e+00	-1.999484e+00
3.879396904048759e-07	2.000000e+00	-1.999747e+00
4.029493939822197e-07	2.000000e+00	-1.999928e+00
4.185249913186368e-07	2.000000e+00	-2.000050e+00
4.353048506244906e-07	2.000000e+00	-2.000123e+00
4.518729742594560e-07	2.000000e+00	-2.000151e+00
4.692341840082091e-07	2.000000e+00	-2.000147e+00
4.863600105872809e-07	2.000000e+00	-2.000124e+00
5.040523302901668e-07	2.000000e+00	-2.000090e+00
5.216731298829736e-07	2.000000e+00	-2.000056e+00
5.400570174024443e-07	2.000000e+00	-2.000025e+00
5.553756731732716e-07	2.000000e+00	-2.000004e+00
