time	V(borne2)	V(vout)
0.000000000000000e+00	9.399954e-08	-2.786675e-07
1.000000000006120e-03	9.399954e-08	-2.786675e-07
1.000000029109062e-03	9.399199e-08	-2.786676e-07
1.000000058212005e-03	9.399547e-08	-2.786675e-07
1.000000087314947e-03	9.400997e-08	-2.786674e-07
1.000000116417889e-03	9.403550e-08	-2.786673e-07
1.000000145520832e-03	9.407205e-08	-2.786670e-07
1.000000174623774e-03	9.411962e-08	-2.786667e-07
1.000000203726716e-03	9.417822e-08	-2.786663e-07
1.000000407453529e-03	9.534200e-08	-2.786555e-07
1.000000592546374e-03	9.750908e-08	-2.786330e-07
1.000000629814311e-03	9.826390e-08	-2.786242e-07
1.000000704350187e-03	1.006185e-07	-2.785930e-07
1.000000853421939e-03	1.074959e-07	-2.784889e-07
1.000001000000000e-03	1.164276e-07	-2.783421e-07
1.000001102604643e-03	1.263788e-07	-2.781518e-07
1.000001219867092e-03	1.418766e-07	-2.778113e-07
1.000001454391990e-03	1.879038e-07	-2.765559e-07
1.000001923441786e-03	3.304048e-07	-2.716732e-07
1.000002502200496e-03	5.961537e-07	-2.607003e-07
1.000003302455592e-03	1.105773e-06	-2.389778e-07
1.000004272087877e-03	1.856253e-06	-2.236834e-07
1.000005613327641e-03	2.884750e-06	-3.145144e-07
1.000007351912280e-03	3.544128e-06	-9.614366e-07
1.000009894869717e-03	1.571695e-06	-3.949752e-06
1.000013295572729e-03	-8.538608e-06	-1.312933e-05
1.000016779214828e-03	-3.096585e-05	-3.105059e-05
1.000020793583034e-03	-7.639052e-05	-6.576862e-05
1.000026426476963e-03	-1.717326e-04	-1.374789e-04
1.000032444489448e-03	-3.069199e-04	-2.385305e-04
1.000039140697694e-03	-4.865149e-04	-3.724128e-04
1.000046101660506e-03	-6.866127e-04	-5.212901e-04
1.000054243618271e-03	-9.107499e-04	-6.874899e-04
1.000064287554385e-03	-1.133660e-03	-8.511934e-04
1.000078326254429e-03	-1.314701e-03	-9.793200e-04
1.000094004782021e-03	-1.330128e-03	-9.774559e-04
1.000111933124316e-03	-1.141950e-03	-8.139159e-04
1.000129860451688e-03	-8.142326e-04	-5.387818e-04
1.000149545165675e-03	-4.032346e-04	-1.931698e-04
1.000172595075202e-03	1.700697e-05	1.655049e-04
1.000198973313627e-03	3.353658e-04	4.441695e-04
1.000227057921468e-03	4.765800e-04	5.730533e-04
1.000253126251500e-03	4.607016e-04	5.600794e-04
1.000280431077804e-03	3.597608e-04	4.614974e-04
1.000310738219815e-03	2.250873e-04	3.192221e-04
1.000331890622716e-03	1.426860e-04	2.238490e-04
1.000348312684227e-03	9.498643e-05	1.620910e-04
1.000365482542254e-03	6.125508e-05	1.122778e-04
1.000384365829698e-03	3.882523e-05	7.283359e-05
1.000404336617078e-03	2.717158e-05	4.562172e-05
1.000424698648923e-03	2.350344e-05	2.986620e-05
1.000447425818602e-03	2.402042e-05	2.181133e-05
1.000474059284524e-03	2.549801e-05	1.892210e-05
1.000510526402668e-03	2.492337e-05	1.827797e-05
1.000551195076059e-03	2.062417e-05	1.696493e-05
1.000585399464859e-03	1.549626e-05	1.420852e-05
