time	V(borne2)	V(vout)
0.000000000000000e+00	9.399969e-08	-1.800010e-07
1.000000000006120e-03	9.399968e-08	-1.800010e-07
1.000000029109062e-03	9.399220e-08	-1.800011e-07
1.000000058212005e-03	9.399566e-08	-1.800011e-07
1.000000087314947e-03	9.401006e-08	-1.800010e-07
1.000000116417889e-03	9.403541e-08	-1.800008e-07
1.000000145520832e-03	9.407169e-08	-1.800005e-07
1.000000174623774e-03	9.411891e-08	-1.800002e-07
1.000000203726716e-03	9.417708e-08	-1.799998e-07
1.000000407453529e-03	9.532960e-08	-1.799890e-07
1.000000592546374e-03	9.747312e-08	-1.799664e-07
1.000000629814311e-03	9.821873e-08	-1.799576e-07
1.000000704350187e-03	1.005408e-07	-1.799262e-07
1.000000853421939e-03	1.073097e-07	-1.798218e-07
1.000001000000000e-03	1.160886e-07	-1.796744e-07
1.000001102604643e-03	1.258422e-07	-1.794832e-07
1.000001219867092e-03	1.409879e-07	-1.791409e-07
1.000001454391990e-03	1.857317e-07	-1.778764e-07
1.000001923441786e-03	3.237512e-07	-1.729211e-07
1.000002514152189e-03	5.857488e-07	-1.614919e-07
1.000003326258297e-03	1.088593e-06	-1.390411e-07
1.000004321448398e-03	1.868980e-06	-1.243778e-07
1.000005693815401e-03	3.108731e-06	-2.312117e-07
1.000007489098464e-03	4.791936e-06	-9.779867e-07
1.000010106482067e-03	7.056326e-06	-4.418264e-06
1.000013596879435e-03	9.517510e-06	-1.478219e-05
1.000016868896325e-03	1.111919e-05	-3.319163e-05
1.000020727637455e-03	1.208846e-05	-6.955783e-05
1.000025903630950e-03	1.218869e-05	-1.433894e-04
1.000032857112386e-03	1.088706e-05	-2.789990e-04
1.000040063973356e-03	8.348607e-06	-4.522635e-04
1.000048059327125e-03	4.567726e-06	-6.647532e-04
1.000056414206262e-03	-1.948980e-07	-8.809619e-04
1.000066877756801e-03	-7.450325e-06	-1.104756e-03
1.000079293234163e-03	-1.903955e-05	-1.256398e-03
1.000097234466728e-03	-4.292522e-05	-1.258900e-03
1.000113685392048e-03	-7.440781e-05	-1.055667e-03
1.000133529346089e-03	-1.253233e-04	-6.212194e-04
1.000154759681698e-03	-1.895822e-04	-8.719093e-05
1.000177187519610e-03	-2.577413e-04	4.092589e-04
1.000203084100552e-03	-3.224991e-04	7.983790e-04
1.000222881456197e-03	-3.527152e-04	9.348661e-04
1.000239206332230e-03	-3.586123e-04	9.335497e-04
1.000255169197607e-03	-3.470060e-04	8.583147e-04
1.000270864902493e-03	-3.207655e-04	7.402277e-04
1.000287500914171e-03	-2.804738e-04	5.916455e-04
1.000302519302078e-03	-2.364577e-04	4.535586e-04
1.000317427778046e-03	-1.888959e-04	3.251545e-04
1.000333731486227e-03	-1.367231e-04	2.032763e-04
1.000349743452200e-03	-8.877961e-05	1.068127e-04
1.000366190171945e-03	-4.576842e-05	3.334032e-05
1.000382791100781e-03	-1.061962e-05	-1.635696e-05
1.000399984888976e-03	1.624870e-05	-4.587165e-05
1.000417259891548e-03	3.371611e-05	-5.812297e-05
1.000434924743866e-03	4.276826e-05	-5.795510e-05
1.000452829239356e-03	4.445058e-05	-4.979901e-05
1.000474703922088e-03	3.996477e-05	-3.525947e-05
1.000490826351562e-03	3.380214e-05	-2.406163e-05
1.000507262976602e-03	2.622830e-05	-1.394937e-05
1.000526433756393e-03	1.760685e-05	-4.869642e-06
1.000548240665767e-03	9.287393e-06	1.907048e-06
1.000570316818532e-03	3.257901e-06	5.298027e-06
1.000595548012243e-03	-4.975937e-07	6.024208e-06
1.000624744330761e-03	-1.486798e-06	4.693482e-06
1.000666814246085e-03	3.423964e-07	1.808027e-06
1.000701991178731e-03	2.801903e-06	-1.244146e-08
1.000742825561108e-03	5.160801e-06	-8.749412e-07
1.000790647902533e-03	6.516730e-06	-8.286145e-07
1.000851203279451e-03	6.960162e-06	-3.932784e-07
1.000940203796629e-03	7.283744e-06	-1.025785e-07
1.001166427139527e-03	9.515581e-06	-2.039226e-07
1.533216083838770e-03	5.330844e-03	3.749685e-05
2.065265740538013e-03	1.065012e-02	1.503867e-04
2.597315397237255e-03	1.596735e-02	3.384656e-04
3.129365053936499e-03	2.128254e-02	6.017336e-04
3.661414710635741e-03	2.659567e-02	9.401906e-04
4.193464367334985e-03	3.190676e-02	1.353837e-03
4.725514024034226e-03	3.721579e-02	1.842672e-03
8.445679427111448e-03	7.421982e-02	6.848088e-03
1.332849192711145e-02	1.224321e-01	1.736258e-02
1.821130442711145e-02	1.700410e-01	3.255486e-02
