time	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	-2.786675e-07
1.000000000006120e-03	6.120104e-06	-2.786675e-07
1.000000029109062e-03	2.910906e-02	-2.786676e-07
1.000000058212005e-03	5.821200e-02	-2.786676e-07
1.000000087314947e-03	8.731495e-02	-2.786675e-07
1.000000116417889e-03	1.164179e-01	-2.786673e-07
1.000000145520832e-03	1.455208e-01	-2.786670e-07
1.000000174623774e-03	1.746238e-01	-2.786667e-07
1.000000203726716e-03	2.037267e-01	-2.786663e-07
1.000000407453529e-03	4.074535e-01	-2.786555e-07
1.000000592546374e-03	5.925463e-01	-2.786330e-07
1.000000629814311e-03	6.298143e-01	-2.786242e-07
1.000000704350187e-03	7.043502e-01	-2.785930e-07
1.000000853421939e-03	8.534219e-01	-2.784889e-07
1.000001000000000e-03	1.000000e+00	-2.783421e-07
1.000001102604643e-03	1.000000e+00	-2.781518e-07
1.000001219867092e-03	1.000000e+00	-2.778113e-07
1.000001454391990e-03	1.000000e+00	-2.765559e-07
1.000001923441786e-03	1.000000e+00	-2.716732e-07
1.000002502200496e-03	1.000000e+00	-2.607003e-07
1.000003302455592e-03	1.000000e+00	-2.389778e-07
1.000004272087877e-03	1.000000e+00	-2.236834e-07
1.000005613327641e-03	1.000000e+00	-3.145144e-07
1.000007351912280e-03	1.000000e+00	-9.614366e-07
1.000009894869717e-03	1.000000e+00	-3.949752e-06
1.000013295572730e-03	1.000000e+00	-1.312933e-05
1.000016779214829e-03	1.000000e+00	-3.105059e-05
1.000020793583035e-03	1.000000e+00	-6.576862e-05
1.000026426476963e-03	1.000000e+00	-1.374789e-04
1.000032444489452e-03	1.000000e+00	-2.385305e-04
1.000039140697694e-03	1.000000e+00	-3.724128e-04
1.000046101660508e-03	1.000000e+00	-5.212901e-04
1.000054243618272e-03	1.000000e+00	-6.874899e-04
1.000064287554391e-03	1.000000e+00	-8.511934e-04
1.000078326254423e-03	1.000000e+00	-9.793200e-04
1.000094004782023e-03	1.000000e+00	-9.774559e-04
1.000111933124311e-03	1.000000e+00	-8.139159e-04
1.000129860451689e-03	1.000000e+00	-5.387818e-04
1.000149545165670e-03	1.000000e+00	-1.931698e-04
1.000172595075202e-03	1.000000e+00	1.655049e-04
1.000198973313631e-03	1.000000e+00	4.441695e-04
1.000227057921471e-03	1.000000e+00	5.730533e-04
1.000253126251504e-03	1.000000e+00	5.600794e-04
1.000280431077807e-03	1.000000e+00	4.614974e-04
